fecha,licenciataria,demanda_millones_m3d
2021-02-27,Distribuidora de Gas del Centro,0.810162
2021-02-27,Naturgy NOA,1.22
2021-02-27,Distribuidora de Gas Cuyana,1.590817
2021-02-27,GasNea,0.204549
2021-02-27,Camuzzi Gas del Sur,2.653873
2021-02-27,Litoral Gas,0.848585
2021-02-27,MetroGAS,3.082
2021-02-27,Camuzzi Gas Pampeana,2.063051
2021-02-28,Distribuidora de Gas Cuyana,0.765524
2021-02-28,Camuzzi Gas del Sur,2.761295
2021-02-28,Naturgy BAN,2.34
2021-02-28,Camuzzi Gas Pampeana,2.067335
2021-02-28,MetroGAS,2.6194
2021-02-28,GasNea,0.240011
2021-02-28,Litoral Gas,0.719741
2021-02-28,Distribuidora de Gas del Centro,0.769503
2021-02-28,Naturgy NOA,0.98
2021-03-01,Camuzzi Gas del Sur,3.572335
2021-03-01,Naturgy NOA,1.11
2021-03-01,Distribuidora de Gas Cuyana,0.865501
2021-03-01,MetroGAS,3.5153
2021-03-01,Distribuidora de Gas del Centro,0.981722
2021-03-01,Camuzzi Gas Pampeana,2.243944
2021-03-01,GasNea,0.197786
2021-03-01,Naturgy BAN,2.96
2021-03-01,Litoral Gas,0.721225
2021-03-02,Naturgy BAN,2.69
2021-03-02,Distribuidora de Gas Cuyana,1.280238
2021-03-02,GasNea,0.17531
2021-03-02,Naturgy NOA,1.15
2021-03-02,MetroGAS,3.527
2021-03-02,Distribuidora de Gas del Centro,0.923151
2021-03-02,Camuzzi Gas Pampeana,1.919872
2021-03-02,Camuzzi Gas del Sur,4.248737
2021-03-02,Litoral Gas,1.028789
2021-03-03,GasNea,0.225028
2021-03-03,Naturgy NOA,1.1
2021-03-03,MetroGAS,3.3603
2021-03-03,Naturgy BAN,2.76
2021-03-03,Litoral Gas,1.056892
2021-03-03,Camuzzi Gas Pampeana,1.999741
2021-03-03,Distribuidora de Gas Cuyana,1.169927
2021-03-03,Distribuidora de Gas del Centro,1.098652
2021-03-03,Camuzzi Gas del Sur,4.293443
2021-03-04,Camuzzi Gas Pampeana,1.941862
2021-03-04,Camuzzi Gas del Sur,4.287943
2021-03-04,Naturgy NOA,1.1
2021-03-04,Distribuidora de Gas Cuyana,1.160161
2021-03-04,Distribuidora de Gas del Centro,1.08605
2021-03-04,Litoral Gas,1.276852
2021-03-04,GasNea,0.208272
2021-03-04,Naturgy BAN,2.7
2021-03-04,MetroGAS,3.3919
2021-03-05,MetroGAS,3.5008
2021-03-05,Naturgy NOA,1.06
2021-03-05,GasNea,0.123444
2021-03-05,Litoral Gas,1.055026
2021-03-05,Distribuidora de Gas Cuyana,1.306795
2021-03-05,Camuzzi Gas del Sur,3.866095
2021-03-05,Distribuidora de Gas del Centro,1.01816
2021-03-05,Naturgy BAN,3.04
2021-03-05,Camuzzi Gas Pampeana,2.059959
2021-03-06,Litoral Gas,0.923549
2021-03-06,Camuzzi Gas del Sur,3.226776
2021-03-06,Naturgy BAN,2.95
2021-03-06,Distribuidora de Gas del Centro,0.886898
2021-03-06,Camuzzi Gas Pampeana,2.21333
2021-03-06,Naturgy NOA,1.07
2021-03-06,MetroGAS,3.0838
2021-03-06,Distribuidora de Gas Cuyana,1.260298
2021-03-06,GasNea,0.07782
2021-03-07,Naturgy NOA,0.81
2021-03-07,Distribuidora de Gas del Centro,0.881584
2021-03-07,Naturgy BAN,2.54
2021-03-07,Camuzzi Gas del Sur,3.59311
2021-03-07,GasNea,0.217322
2021-03-07,Camuzzi Gas Pampeana,2.11465
2021-03-07,MetroGAS,2.7154
2021-03-07,Distribuidora de Gas Cuyana,0.709231
2021-03-07,Litoral Gas,0.849543
2021-03-08,Distribuidora de Gas del Centro,0.975861
2021-03-08,Naturgy BAN,3.15
2021-03-08,MetroGAS,3.3525
2021-03-08,Camuzzi Gas del Sur,4.093896
2021-03-08,GasNea,0.206434
2021-03-08,Naturgy NOA,0.98
2021-03-08,Litoral Gas,1.211886
2021-03-08,Camuzzi Gas Pampeana,2.663578
2021-03-08,Distribuidora de Gas Cuyana,1.568421
2021-03-09,MetroGAS,3.8607
2021-03-09,GasNea,0.214781
2021-03-09,Distribuidora de Gas del Centro,1.005037
2021-03-09,Naturgy BAN,3.09
2021-03-09,Distribuidora de Gas Cuyana,0.964709
2021-03-09,Camuzzi Gas Pampeana,2.287241
2021-03-09,Naturgy NOA,0.99
2021-03-09,Camuzzi Gas del Sur,3.397196
2021-03-09,Litoral Gas,1.349459
2021-03-10,Naturgy BAN,3.16
2021-03-10,GasNea,0.208135
